Age Category,Sex,num,Year,Time
30,M,1,2016,15300
60,M,1,2016,18342
30,F,1,2016,18274
35,M,2,2015,13977
35,M,2,2016,18810
40,F,9,2016,19714
42,F,9,2014,20594
38,F,9,2010,19744
36,F,9,2008,19729
37,F,9,2009,19647
35,F,9,2007,19572
39,F,9,2011,19704
34,F,9,2006,19772
40,F,9,2012,19715
45,M,1,2016,16943
42,M,2,2014,14683
40,M,2,2016,12963
30,F,1,2016,14354
52,M,4,2014,17376
50,M,4,2012,15671
50,M,4,2015,15606
50,M,4,2016,19788
25,M,1,2016,17173
41,F,3,2014,21525
40,F,3,2015,19673
40,F,3,2016,17507
20,F,2,2016,14443
30,F,2,2016,13575
30,M,1,2016,10713
25,F,1,2016,14392
40,M,5,2016,18529
33,M,5,2008,18143
40,M,5,2015,19661
37,M,5,2012,17485
36,M,5,2011,18074
45,M,6,2015,14915
42,M,6,2009,16654
45,M,6,2012,14884
44,M,6,2011,14775
43,M,6,2010,15340
45,M,6,2016,14617
50,M,1,2016,14314
50,M,2,2016,24545
50,M,2,2015,14415
25,F,1,2016,19381
30,F,1,2016,11067
40,M,1,2016,14548
44,F,2,2011,15434
45,F,2,2016,14984
25,F,2,2016,15961
25,F,2,2015,14606
30,F,1,2016,13486
50,M,1,2016,14095
35,M,1,2016,16447
40,F,1,2016,15427
30,F,1,2016,19169
30,M,1,2016,18993
45,M,1,2016,19901
45,M,2,2015,13110
45,M,2,2016,12657
36,M,2,2011,15632
35,M,2,2016,24194
30,F,1,2016,14430
45,M,1,2016,20820
45,M,1,2016,12720
55,M,1,2016,19427
45,M,2,2016,14780
45,M,2,2015,17373
50,M,1,2016,12930
40,M,1,2016,14583
45,M,2,2016,12531
37,F,2,2014,18324
35,F,2,2016,16266
35,M,1,2016,12130
35,M,1,2016,14082
40,M,1,2016,15746
44,M,3,2014,19761
45,M,3,2015,16963
45,M,3,2016,16317
46,M,2,2014,17728
40,M,2,2016,13280
20,M,1,2016,20278
30,M,1,2016,17499
35,M,1,2016,12888
35,M,2,2016,14180
35,M,2,2015,13335
50,M,2,2015,19575
55,M,2,2016,21669
40,M,1,2016,12342
48,M,2,2014,23173
50,M,2,2016,19818
45,F,1,2016,17225
39,M,2,2011,10174
40,M,2,2016,10635
40,M,1,2016,13740
35,M,2,2016,16795
37,M,2,2012,15221
55,F,1,2016,15715
40,F,1,2016,15115
25,F,1,2016,17994
45,F,1,2016,22693
45,M,1,2016,14345
35,F,5,2007,18129
40,F,5,2016,15282
38,F,5,2010,17070
39,F,5,2011,16048
40,F,5,2012,16758
44,M,2,2014,14018
45,M,2,2016,11600
35,F,1,2016,14029
35,F,5,2010,13626
40,F,5,2015,14081
40,F,5,2016,14105
39,F,5,2014,14084
30,F,5,2005,13887
46,M,3,2014,18918
45,M,3,2015,16512
45,M,3,2016,15565
39,M,6,2004,14706
43,M,6,2010,13797
44,M,6,2011,14938
41,M,6,2006,14693
45,M,6,2016,14334
45,M,6,2012,16357
45,M,1,2016,11069
55,M,5,2014,16172
51,M,5,2010,13795
55,M,5,2015,15866
55,M,5,2016,15867
15,M,1,2016,14220
40,M,1,2016,18882
40,M,1,2016,15294
41,F,3,2011,17008
45,F,3,2016,16166
45,F,3,2015,17175
20,F,1,2016,20974
35,M,1,2016,14402
25,F,1,2016,13258
40,F,1,2016,18199
50,M,1,2016,16291
30,M,1,2016,18344
50,M,1,2016,11787
40,M,1,2016,18085
35,M,1,2016,12407
65,M,1,2016,20638
35,M,1,2016,14151
40,M,1,2016,16679
20,M,2,2016,22658
35,F,1,2016,15061
35,M,1,2016,17040
25,M,2,2016,10769
35,M,1,2016,18498
30,M,4,2016,16147
42,M,4,2004,20299
40,M,1,2016,17019
43,M,7,2012,15191
41,M,7,2010,12724
40,M,7,2009,13939
45,M,7,2015,18047
45,M,7,2014,19305
42,M,7,2011,14033
45,M,7,2016,17326
25,F,1,2016,22497
40,M,1,2016,8696
55,M,1,2016,16925
35,M,5,2008,14902
36,M,5,2009,16723
34,M,5,2007,17566
37,M,5,2010,15917
30,M,5,2016,12401
30,M,1,2016,16033
35,F,1,2016,16430
30,F,1,2016,21699
45,M,1,2016,16711
35,M,1,2016,15134
30,M,1,2016,16237
50,M,3,2016,14283
50,M,3,2014,14214
50,M,3,2015,14062
45,M,1,2016,19116
49,M,2,2012,19318
50,M,2,2016,16968
30,M,1,2016,16056
30,M,2,2016,13624
40,M,2,2015,17384
40,M,2,2016,17893
45,F,1,2016,20831
25,F,2,2016,17791
25,F,2,2015,16309
30,F,1,2016,15470
35,M,1,2016,12667
55,M,1,2016,15769
25,F,1,2016,15726
45,M,1,2016,12067
35,M,1,2016,14671
30,M,1,2016,12582
40,M,1,2016,17076
40,F,1,2016,14682
15,F,1,2016,16739
38,M,5,2006,13367
45,M,5,2016,14094
39,M,5,2007,13336
42,M,5,2010,13979
45,M,5,2015,12814
30,F,1,2016,14230
15,M,1,2016,18599
30,M,1,2016,14399
35,M,1,2016,13275
45,F,1,2016,17073
25,M,1,2016,20505
50,M,1,2016,16020
55,F,1,2016,22184
30,F,2,2015,18581
35,F,2,2016,17916
55,M,2,2016,17867
55,M,2,2015,18277
30,M,2,2015,14488
35,M,2,2016,14044
50,M,2,2016,15206
50,M,2,2015,15987
45,M,1,2016,16125
34,F,2,2011,16468
35,F,2,2016,15282
50,F,3,2015,17508
50,F,3,2014,15975
50,F,3,2016,15477
40,F,1,2016,13615
40,M,1,2016,14169
30,F,4,2015,15198
30,F,4,2016,17808
25,F,4,2010,22787
29,F,4,2014,21333
35,M,2,2016,12165
33,M,2,2014,12408
40,F,1,2016,14026
39,M,3,2014,16953
40,M,3,2015,15852
40,M,3,2016,16060
41,F,4,2011,17041
45,F,4,2016,17535
42,F,4,2012,16383
40,F,4,2010,17781
35,F,1,2016,18688
20,M,1,2016,18334
30,M,1,2016,12593
20,F,1,2016,18601
25,F,1,2016,22768
50,M,5,2016,15291
50,M,5,2012,15413
49,M,5,2011,15705
50,M,5,2015,14868
48,M,5,2010,17075
40,M,1,2016,16147
30,M,1,2016,17822
35,F,2,2016,16699
35,F,2,2015,18022
25,F,1,2016,13117
40,F,1,2016,16865
35,M,1,2016,11634
41,M,4,2010,17385
42,M,4,2011,15916
45,M,4,2016,15146
45,M,4,2014,16719
50,M,1,2016,17775
45,M,1,2016,14634
35,M,1,2016,18895
30,F,1,2016,13550
57,M,7,2011,17512
60,M,7,2016,18091
54,M,7,2008,18716
60,M,7,2015,17673
56,M,7,2010,15809
60,M,7,2014,20011
55,M,7,2009,15765
45,M,1,2016,15101
52,M,3,2014,17756
50,M,3,2015,16423
50,M,3,2016,15892
50,M,1,2016,13617
35,F,1,2016,22166
39,F,2,2014,17123
40,F,2,2016,16613
45,F,2,2016,13283
45,F,2,2015,13081
45,M,2,2015,23086
45,M,2,2016,19088
25,F,1,2016,14013
50,M,1,2016,14142
30,M,1,2016,12611
35,F,1,2016,18524
25,F,1,2016,22504
50,M,1,2016,12640
25,M,5,2009,13697
26,M,5,2010,12703
28,M,5,2012,11910
30,M,5,2014,12753
30,M,5,2016,12325
35,M,2,2016,10750
35,M,2,2015,10794
35,M,1,2016,14419
40,F,4,2016,22857
40,F,4,2015,25125
40,F,4,2012,21393
42,F,4,2014,22487
55,M,1,2016,13996
30,F,1,2016,14790
45,M,1,2016,14323
35,M,1,2016,18317
35,F,1,2016,17402
35,F,1,2016,21276
50,F,1,2016,17095
