Id,Age Category,Sex,Time,Year,ageFactor,day_no,temp,flu,num,sdTime,meanTime,ran_more_than_once
1,30,M,15300,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
2,60,M,18342,2016,"[60,70)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
3,30,F,18274,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
4,35,M,13977,2015,"[30,40)",25.0,60.0,1.9,2,3417.447073474584,16393.5,1
4,35,M,18810,2016,"[30,40)",24.0,54.0,1.85,2,3417.447073474584,16393.5,1
5,40,F,19714,2016,"[40,50)",24.0,54.0,1.85,>7,303.853994543432,19799.0,1
5,42,F,20594,2014,"[40,50)",33.0,76.0,3.0,>7,303.853994543432,19799.0,1
5,38,F,19744,2010,"[30,40)",31.0,71.0,1.3,>7,303.853994543432,19799.0,1
5,36,F,19729,2008,"[30,40)",27.0,68.0,0.79,>7,303.853994543432,19799.0,1
5,37,F,19647,2009,"[30,40)",25.0,68.0,1.06,>7,303.853994543432,19799.0,1
5,35,F,19572,2007,"[30,40)",28.0,69.0,1.2,>7,303.853994543432,19799.0,1
5,39,F,19704,2011,"[30,40)",30.0,63.0,4.0,>7,303.853994543432,19799.0,1
5,34,F,19772,2006,"[30,40)",29.0,73.0,2.76,>7,303.853994543432,19799.0,1
5,40,F,19715,2012,"[40,50)",29.0,72.0,1.1,>7,303.853994543432,19799.0,1
6,45,M,16943,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
7,42,M,14683,2014,"[40,50)",33.0,76.0,3.0,2,1216.2236636408618,13823.0,1
7,40,M,12963,2016,"[40,50)",24.0,54.0,1.85,2,1216.2236636408618,13823.0,1
8,30,F,14354,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
9,52,M,17376,2014,"[50,60)",33.0,76.0,3.0,4,1964.2790662225161,17110.25,1
9,50,M,15671,2012,"[50,60)",29.0,72.0,1.1,4,1964.2790662225161,17110.25,1
9,50,M,15606,2015,"[50,60)",25.0,60.0,1.9,4,1964.2790662225161,17110.25,1
9,50,M,19788,2016,"[50,60)",24.0,54.0,1.85,4,1964.2790662225161,17110.25,1
10,25,M,17173,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
11,41,F,21525,2014,"[40,50)",33.0,76.0,3.0,3,2011.0438417233308,19568.333333333332,1
11,40,F,19673,2015,"[40,50)",25.0,60.0,1.9,3,2011.0438417233308,19568.333333333332,1
11,40,F,17507,2016,"[40,50)",24.0,54.0,1.85,3,2011.0438417233308,19568.333333333332,1
12,20,F,14443,2016,"[20,30)",24.0,54.0,1.85,2,613.7686860699232,14009.0,1
12,30,F,13575,2016,"[30,40)",24.0,54.0,1.85,2,613.7686860699232,14009.0,1
13,30,M,10713,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
14,25,F,14392,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
