Age Category,Sex,num,Year,Time,ageFactor
30,M,1,2016,15300,"[30,40)"
60,M,1,2016,18342,"[60,70)"
30,F,1,2016,18274,"[30,40)"
35,M,2,2015,13977,"[30,40)"
35,M,2,2016,18810,"[30,40)"
40,F,>7,2016,19714,"[40,50)"
42,F,>7,2014,20594,"[40,50)"
38,F,>7,2010,19744,"[30,40)"
36,F,>7,2008,19729,"[30,40)"
37,F,>7,2009,19647,"[30,40)"
35,F,>7,2007,19572,"[30,40)"
39,F,>7,2011,19704,"[30,40)"
34,F,>7,2006,19772,"[30,40)"
40,F,>7,2012,19715,"[40,50)"
45,M,1,2016,16943,"[40,50)"
42,M,2,2014,14683,"[40,50)"
40,M,2,2016,12963,"[40,50)"
30,F,1,2016,14354,"[30,40)"
52,M,4,2014,17376,"[50,60)"
50,M,4,2012,15671,"[50,60)"
50,M,4,2015,15606,"[50,60)"
50,M,4,2016,19788,"[50,60)"
25,M,1,2016,17173,"[20,30)"
41,F,3,2014,21525,"[40,50)"
40,F,3,2015,19673,"[40,50)"
40,F,3,2016,17507,"[40,50)"
20,F,2,2016,14443,"[20,30)"
30,F,2,2016,13575,"[30,40)"
30,M,1,2016,10713,"[30,40)"
25,F,1,2016,14392,"[20,30)"
40,M,5,2016,18529,"[40,50)"
33,M,5,2008,18143,"[30,40)"
40,M,5,2015,19661,"[40,50)"
37,M,5,2012,17485,"[30,40)"
36,M,5,2011,18074,"[30,40)"
45,M,6,2015,14915,"[40,50)"
42,M,6,2009,16654,"[40,50)"
45,M,6,2012,14884,"[40,50)"
44,M,6,2011,14775,"[40,50)"
43,M,6,2010,15340,"[40,50)"
45,M,6,2016,14617,"[40,50)"
50,M,1,2016,14314,"[50,60)"
50,M,2,2016,24545,"[50,60)"
50,M,2,2015,14415,"[50,60)"
25,F,1,2016,19381,"[20,30)"
30,F,1,2016,11067,"[30,40)"
40,M,1,2016,14548,"[40,50)"
44,F,2,2011,15434,"[40,50)"
45,F,2,2016,14984,"[40,50)"
25,F,2,2016,15961,"[20,30)"
25,F,2,2015,14606,"[20,30)"
30,F,1,2016,13486,"[30,40)"
50,M,1,2016,14095,"[50,60)"
35,M,1,2016,16447,"[30,40)"
40,F,1,2016,15427,"[40,50)"
30,F,1,2016,19169,"[30,40)"
30,M,1,2016,18993,"[30,40)"
45,M,1,2016,19901,"[40,50)"
45,M,2,2015,13110,"[40,50)"
45,M,2,2016,12657,"[40,50)"
36,M,2,2011,15632,"[30,40)"
35,M,2,2016,24194,"[30,40)"
30,F,1,2016,14430,"[30,40)"
45,M,1,2016,20820,"[40,50)"
45,M,1,2016,12720,"[40,50)"
55,M,1,2016,19427,"[50,60)"
45,M,2,2016,14780,"[40,50)"
45,M,2,2015,17373,"[40,50)"
50,M,1,2016,12930,"[50,60)"
40,M,1,2016,14583,"[40,50)"
45,M,2,2016,12531,"[40,50)"
37,F,2,2014,18324,"[30,40)"
35,F,2,2016,16266,"[30,40)"
35,M,1,2016,12130,"[30,40)"
35,M,1,2016,14082,"[30,40)"
40,M,1,2016,15746,"[40,50)"
44,M,3,2014,19761,"[40,50)"
45,M,3,2015,16963,"[40,50)"
45,M,3,2016,16317,"[40,50)"
46,M,2,2014,17728,"[40,50)"
40,M,2,2016,13280,"[40,50)"
20,M,1,2016,20278,"[20,30)"
30,M,1,2016,17499,"[30,40)"
35,M,1,2016,12888,"[30,40)"
35,M,2,2016,14180,"[30,40)"
35,M,2,2015,13335,"[30,40)"
50,M,2,2015,19575,"[50,60)"
55,M,2,2016,21669,"[50,60)"
40,M,1,2016,12342,"[40,50)"
48,M,2,2014,23173,"[40,50)"
50,M,2,2016,19818,"[50,60)"
45,F,1,2016,17225,"[40,50)"
39,M,2,2011,10174,"[30,40)"
40,M,2,2016,10635,"[40,50)"
40,M,1,2016,13740,"[40,50)"
35,M,2,2016,16795,"[30,40)"
37,M,2,2012,15221,"[30,40)"
55,F,1,2016,15715,"[50,60)"
40,F,1,2016,15115,"[40,50)"
25,F,1,2016,17994,"[20,30)"
45,F,1,2016,22693,"[40,50)"
45,M,1,2016,14345,"[40,50)"
35,F,5,2007,18129,"[30,40)"
40,F,5,2016,15282,"[40,50)"
38,F,5,2010,17070,"[30,40)"
39,F,5,2011,16048,"[30,40)"
40,F,5,2012,16758,"[40,50)"
44,M,2,2014,14018,"[40,50)"
45,M,2,2016,11600,"[40,50)"
35,F,1,2016,14029,"[30,40)"
35,F,5,2010,13626,"[30,40)"
40,F,5,2015,14081,"[40,50)"
40,F,5,2016,14105,"[40,50)"
39,F,5,2014,14084,"[30,40)"
30,F,5,2005,13887,"[30,40)"
46,M,3,2014,18918,"[40,50)"
45,M,3,2015,16512,"[40,50)"
45,M,3,2016,15565,"[40,50)"
39,M,6,2004,14706,"[30,40)"
43,M,6,2010,13797,"[40,50)"
44,M,6,2011,14938,"[40,50)"
41,M,6,2006,14693,"[40,50)"
45,M,6,2016,14334,"[40,50)"
45,M,6,2012,16357,"[40,50)"
45,M,1,2016,11069,"[40,50)"
55,M,5,2014,16172,"[50,60)"
51,M,5,2010,13795,"[50,60)"
55,M,5,2015,15866,"[50,60)"
55,M,5,2016,15867,"[50,60)"
15,M,1,2016,14220,"[10,20)"
40,M,1,2016,18882,"[40,50)"
40,M,1,2016,15294,"[40,50)"
41,F,3,2011,17008,"[40,50)"
